starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	0	16	16	0
Wed Apr 26 15:08:43 2017	1493237323	16	16	31	0
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	31	31	16
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
Wed Apr 26 15:08:43 2017	1493237323	0	47	47	31
