starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	0	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:54 2017	1492575294	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	0	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:55 2017	1492575295	0	0	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	0	1	0
Wed Apr 19 06:14:58 2017	1492575298	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:55 2017	1492575295	0	1	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:59 2017	1492575299	0	0	1	0
Wed Apr 19 06:14:54 2017	1492575294	0	0	1	0
Wed Apr 19 06:14:55 2017	1492575295	0	1	1	1
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	1	1	1
Wed Apr 19 06:14:56 2017	1492575296	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	1	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:56 2017	1492575296	0	0	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:53 2017	1492575293	0	0	1	0
Wed Apr 19 06:14:57 2017	1492575297	0	0	1	0
Wed Apr 19 06:14:52 2017	1492575292	0	1	1	1
Wed Apr 19 06:14:52 2017	1492575292	0	0	1	0
Wed Apr 19 06:14:49 2017	1492575289	0	0	1	0
Wed Apr 19 06:14:50 2017	1492575290	0	0	1	0
Wed Apr 19 06:14:52 2017	1492575292	0	0	1	0
Wed Apr 19 06:14:52 2017	1492575292	0	1	1	0
Wed Apr 19 06:14:58 2017	1492575298	0	0	1	0
Wed Apr 19 06:14:55 2017	1492575295	0	0	1	0
